tile	nucleus	intensity
8	22	1823680
8	23	494071
8	24	4180207
8	25	6337394
8	26	2346258
8	27	480331
8	28	6469036
8	29	702362
8	30	931012
8	31	4638175
8	32	3572224
8	33	1625425
8	34	2183121
8	35	4756720
8	36	2029983
8	37	2573556
8	38	2220406
8	39	1143913
8	40	3120865
8	41	3200922
8	42	1980400
8	43	3168540
8	44	397270
8	45	2129306
8	46	289399
8	47	480155
8	48	387370
8	49	1629060
8	50	7162548
8	51	2897840
8	52	107310
8	53	1818276
8	54	2982378
8	55	254033
8	56	2773732
8	57	784404
8	58	523385
8	59	2734580
8	60	1677072
8	61	855348
8	62	489719
8	63	1670414
8	64	271819
8	65	1008746
8	66	236490
8	67	3039102
8	68	503352
8	69	743385
8	70	219744
8	71	1641584
8	72	2168187
8	73	905169
8	74	4027501
8	75	943387
8	76	793321
8	77	456193
8	78	2160471
8	79	1386970
8	80	779589
8	81	836464
8	82	691004
8	83	665527
8	84	1736979
8	85	885349
8	86	250097
8	87	1374091
8	88	1286788
9	1	1926189
9	2	1407533
9	3	2062562
9	4	5081004
9	5	1303289
9	6	3585683
9	7	2483951
9	8	304442
9	9	7138655
9	10	570271
9	11	4672738
9	12	1636572
9	13	4357930
9	14	2749527
9	15	2771453
9	16	2351440
9	17	6882716
9	18	2755122
9	19	2184082
9	20	389287
9	21	3397752
9	22	4311744
9	23	9884360
9	24	3566715
9	25	211093
9	26	170548
9	27	429170
9	28	3538849
9	29	2972918
9	30	4372069
9	31	4453013
9	32	412730
9	33	6100385
9	34	589897
9	35	349945
9	36	4231586
9	37	2819259
9	38	541227
9	39	614349
9	40	1494180
9	41	1748175
9	42	3405445
9	43	6758467
9	44	4670425
9	45	2308595
9	46	6273698
9	47	6349488
9	48	2089332
9	49	481912
9	50	2404691
9	51	130601
9	52	1666934
9	53	4142619
9	54	2015901
9	55	1551279
9	56	522196
9	57	3741302
9	58	2091999
9	59	648316
9	60	396529
9	61	5238640
9	62	1314961
9	63	1757388
9	64	1412870
9	65	2450152
9	66	967373
9	67	1728784
9	68	397882
10	1	1356636
10	2	2750813
10	3	4859410
10	4	4973822
10	5	6814849
10	6	599349
10	7	4242282
10	8	7331754
10	9	2572306
10	10	10334238
10	11	3563514
10	12	5060008
10	13	4297516
10	14	6524803
10	15	2771493
10	16	10305758
10	17	3563340
10	18	2027226
10	19	748183
10	20	6197373
10	21	4613524
